__v,_id,brand,devicetype
0,6045c929a949c739d34f38e7,Crestron,IR Receiver
0,6045c929a949c739d34f38e8,Crestron,Lighting Controller
0,6045c929a949c739d34f38e9,Crestron,Music Server
0,6045c929a949c739d34f38ea,Curtis Mathes,VCR
0,6045c929a949c739d34f38eb,Cyberhome,DVD Player
0,6045c929a949c739d34f38ec,Cyron,Lighting Controller
0,6045c929a949c739d34f38ed,D-LINK,MP3 Player
0,6045c929a949c739d34f38ee,D-LINK,Media Center
0,6045c929a949c739d34f38ef,DK digital,DVD Player
0,6045c929a949c739d34f38f0,DLO,HomeDock
0,6045c929a949c739d34f38f1,DVDO,Scaler
0,6045c929a949c739d34f38f2,DVDO,Video Processor
0,6045c929a949c739d34f38f3,Da Lite,Screen
0,6045c92aa949c739d34f38f4,Daewoo,DVD Player
0,6045c92aa949c739d34f38f5,Daewoo,TV
0,6045c92aa949c739d34f38f6,Daewoo,VCR
0,6045c92aa949c739d34f38f7,Dantax,DVD Player
0,6045c92aa949c739d34f38f8,Dedicated Micros,Camera Switcher
0,6045c92aa949c739d34f38f9,Dell,TV
0,6045c92aa949c739d34f38fa,Dell,Video Projector
0,6045c92aa949c739d34f38fb,Delphi,Satellite Receiver
0,6045c92aa949c739d34f38fc,Digital Music Expres,DMX
0,6045c92aa949c739d34f38fd,Digital Projection,Projector
0,6045c92aa949c739d34f38fe,Digital Projection,Video Projector
0,6045c92aa949c739d34f38ff,Digital Projection,Video Scaler
0,6045c92aa949c739d34f3900,Digital Stream,HDTV Tuner
0,6045c92aa949c739d34f3901,Denon,A/V Receiver
0,6045c92aa949c739d34f3902,Denon,AV Processor
0,6045c92aa949c739d34f3903,Denon,Amplifier
0,6045c92aa949c739d34f3904,Denon,Blu-Ray
0,6045c92aa949c739d34f3905,Denon,CD Jukebox
0,6045c92aa949c739d34f3906,Denon,CD Player
0,6045c92aa949c739d34f3907,Denon,CD Receiver
0,6045c92aa949c739d34f3908,Denon,Cassette Tape
0,6045c92aa949c739d34f3909,Denon,DAT
0,6045c92aa949c739d34f390a,Denon,DVD Player
0,6045c92aa949c739d34f390b,Denon,Laser Disc
0,6045c92aa949c739d34f390c,Denon,Mini-Disc
0,6045c92aa949c739d34f390d,Denon,Pre-Amplifier
0,6045c92aa949c739d34f390e,Denon,Processor
0,6045c92aa949c739d34f390f,Denon,Receiver
0,6045c92aa949c739d34f3910,Denon,Receiver/CD
0,6045c92aa949c739d34f3911,Denon,Surround Receiver
0,6045c92aa949c739d34f3912,Denon,Tuner
0,6045c92aa949c739d34f3913,Denon,Unknown
0,6045c92aa949c739d34f3914,DigitalView,HDTV Tuner
0,6045c92ba949c739d34f3915,DirecTV,Basic Satellite
0,6045c92ba949c739d34f3916,DirecTV,DSS
0,6045c92ba949c739d34f3917,DirecTV,DVR
0,6045c92ba949c739d34f3918,DirecTV,HDTV Tuner
0,6045c92ba949c739d34f391a,DirecTV,Receiver HDDVR
0,6045c92ba949c739d34f3919,DirecTV,Receiver HD
0,6045c92ba949c739d34f391b,DirecTV,Receiver SD
0,6045c92ba949c739d34f391c,DirecTV,Receiver SDDVR
0,6045c92ba949c739d34f391d,DirecTV,Receiver/HDR
0,6045c92ba949c739d34f391e,DirecTV,Satellite
0,6045c92ba949c739d34f391f,DirecTV,Tivo/Sat Reciever
0,6045c92ba949c739d34f3920,DirecTV,Unknown
0,6045c92ba949c739d34f3921,Dish Network,Satelite DVR
0,6045c92ba949c739d34f3922,Dish Network,Satellite
0,6045c92ba949c739d34f3924,Draper,Electric Screen
0,6045c92ba949c739d34f3923,Draper,Dropdown Screen
0,6045c92ba949c739d34f3925,Draper,Screen
0,6045c92ba949c739d34f3926,Dream,Satellite
0,6045c92ba949c739d34f3927,Dream Vision,DLP Projector
0,6045c92ba949c739d34f3929,Dwin,Plasma
0,6045c92ba949c739d34f392a,Dwin,Projector
0,6045c92ba949c739d34f3928,Dwin,Line Multiplier
0,6045c92ba949c739d34f392b,Dwin,TV
0,6045c92ba949c739d34f392c,Dwin,Video Processor
0,6045c92ba949c739d34f392d,Dwin,Video Projector
0,6045c92ba949c739d34f3930,Echostar,Dish Network
0,6045c92ba949c739d34f3931,Echostar,PVR SAT
0,6045c92ba949c739d34f3933,Echostar,Satelite DVR
0,6045c92ba949c739d34f3932,Echostar,Sat/PVR Recorder Box
0,6045c92ba949c739d34f392e,Echostar,DSS
0,6045c92ba949c739d34f3934,Echostar,Satellite
0,6045c92ba949c739d34f392f,Echostar,DVR
0,6045c92ba949c739d34f3935,Elan,A/V Distributor
0,6045c92ba949c739d34f3938,Elan,DVD Manager
